farmland,crops,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
논,논벼,0.0,0.0,15.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
시설,딸기,0.0,22.0,31.0,35.5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
인삼,인삼,0.0,72.5,97.421875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
밭,수박,0.0,87.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
밭,가을무,0.0,36.7,49.315625,66.51875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875
밭,가을배추,0.0,60.0,63.15789474,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
밭,참깨,0.0,29.7,31.26315789,50.02105263,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737
밭,옥수수,0.0,11.0,27.0,32.5,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
밭,콩,0.0,35.5,46.30434783,54.02173913,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043
밭,고구마,0.0,10.0,13.4375,18.125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125
