occupancy,structures,"costs(1,000 KW/㎡)"
1종근린생활시설,조적조,933
1종근린생활시설,목조,933
1종근린생활시설,철골조,933
1종근린생활시설,철근콘크리트조,933
2종근린생활시설,조적조,963
2종근린생활시설,철골조,963
2종근린생활시설,철근콘크리트조,963
2종근린생활시설,목조,963
공공업무시설,철골조,"1,118"
공공업무시설,조적조,"1,118"
공공업무시설,철근콘크리트조,"1,118"
공공업무시설,목조,"1,118"
공해공장,조적조,"1,108"
공해공장,목조,"1,108"
공해공장,철골조,"1,108"
공해공장,철근콘크리트조,"1,108"
관광휴게시설,목조,896
관광휴게시설,조적조,896
관광휴게시설,철근콘크리트조,896
관광휴게시설,철골조,896
교육연구시설,목조,891
교육연구시설,철골조,891
교육연구시설,철근콘크리트조,891
교육연구시설,조적조,891
교정및군사시설,조적조,980
교정및군사시설,철근콘크리트조,980
교정및군사시설,철골조,980
교정및군사시설,목조,980
노유자시설,조적조,"1,231"
노유자시설,목조,"1,231"
노유자시설,철골조,"1,231"
노유자시설,철근콘크리트조,"1,231"
다세대주택/연립주택,목조,"1,082"
다세대주택/연립주택,철골조,"1,082"
다세대주택/연립주택,철근콘크리트조,"1,082"
다세대주택/연립주택,조적조,"1,082"
단독주택,조적조,"1,213"
단독주택,철근콘크리트조,"1,136"
단독주택,철골조,"1,223"
단독주택,목조,970
동물및식물관련시설,목조,366
동물및식물관련시설,철골조,366
동물및식물관련시설,철근콘크리트조,366
동물및식물관련시설,조적조,366
묘지관련시설,조적조,"1,113"
묘지관련시설,목조,"1,113"
묘지관련시설,철골조,"1,113"
묘지관련시설,철근콘크리트조,"1,113"
문화및집회시설,철근콘크리트조,"1,318"
문화및집회시설,철골조,"1,318"
문화및집회시설,목조,"1,318"
문화및집회시설,조적조,"1,318"
발전시설,철근콘크리트조,"1,014"
발전시설,철골조,"1,014"
발전시설,목조,"1,014"
발전시설,조적조,"1,014"
방송통신시설,철골조,"1,014"
방송통신시설,목조,"1,014"
방송통신시설,철근콘크리트조,"1,014"
방송통신시설,조적조,"1,014"
분뇨쓰레기처리시설,목조,366
분뇨쓰레기처리시설,조적조,366
분뇨쓰레기처리시설,철근콘크리트조,366
분뇨쓰레기처리시설,철골조,366
수련시설,조적조,891
수련시설,철골조,891
수련시설,목조,891
수련시설,철근콘크리트조,891
숙박시설,조적조,"1,163"
숙박시설,철근콘크리트조,"1,163"
숙박시설,철골조,"1,163"
숙박시설,목조,"1,163"
아파트,목조,"1,444"
아파트,조적조,"1,444"
아파트,철근콘크리트조,"1,444"
아파트,철골조,"1,444"
운동시설,조적조,"1,384"
운동시설,철근콘크리트조,"1,384"
운동시설,철골조,"1,384"
운동시설,목조,"1,384"
운수시설,철근콘크리트조,"1,010"
운수시설,조적조,"1,010"
운수시설,목조,"1,010"
운수시설,철골조,"1,010"
위락시설,조적조,"1,163"
위락시설,철근콘크리트조,"1,163"
위락시설,철골조,"1,163"
위락시설,목조,"1,163"
위험물저장처리시설,조적조,762
위험물저장처리시설,철근콘크리트조,762
위험물저장처리시설,철골조,762
위험물저장처리시설,목조,762
의료시설,철골조,"1,345"
의료시설,목조,"1,345"
의료시설,철근콘크리트조,"1,345"
의료시설,조적조,"1,345"
일반공장,조적조,678
일반공장,목조,678
일반공장,철골조,678
일반공장,철근콘크리트조,678
일반업무시설,철골조,895
일반업무시설,조적조,895
일반업무시설,목조,895
일반업무시설,철근콘크리트조,895
자동차관련시설,목조,477
자동차관련시설,철근콘크리트조,477
자동차관련시설,철골조,477
자동차관련시설,조적조,477
장례시설,철근콘크리트조,"1,113"
장례시설,조적조,"1,113"
장례시설,목조,"1,113"
장례시설,철골조,"1,113"
종교시설,철골조,"1,450"
종교시설,목조,"1,450"
종교시설,조적조,"1,450"
종교시설,철근콘크리트조,"1,450"
창고시설,철골조,627
창고시설,목조,627
창고시설,조적조,627
창고시설,철근콘크리트조,627
판매시설,철골조,"1,428"
판매시설,조적조,"1,428"
판매시설,철근콘크리트조,"1,428"
판매시설,목조,"1,428"
